Date,REGION,Product,Spend
30/6/2008,Manawatu-Whanganui,Retail sales - fuel and other automotive products,8.120557996
30/6/2008,Manawatu-Whanganui,Retail sales - other,12.73637634
30/6/2008,Marlborough,Accommodation services,1.259359063
30/6/2008,Marlborough,"Cultural, recreation, and gambling services",0.145132954
30/6/2008,Marlborough,Food and beverage serving services,1.413389311
30/6/2008,Marlborough,Other passenger transport,10.01552698
30/6/2008,Marlborough,Other tourism products,0.399297466
30/6/2008,Marlborough,"Retail sales - alcohol, food, and beverages",1.586237618
30/6/2008,Marlborough,Retail sales - fuel and other automotive products,1.788453972
30/6/2008,Marlborough,Retail sales - other,1.548412479
30/6/2008,Nelson,Accommodation services,1.201028647
30/6/2008,Nelson,"Cultural, recreation, and gambling services",0.122526166
30/6/2008,Nelson,Food and beverage serving services,1.340597149
30/6/2008,Nelson,Other passenger transport,2.660917765
30/6/2008,Nelson,Other tourism products,0.820311029
30/6/2008,Nelson,"Retail sales - alcohol, food, and beverages",0.863590973
30/6/2008,Nelson,Retail sales - fuel and other automotive products,0.704128231
30/6/2008,Nelson,Retail sales - other,3.182789771
30/6/2008,Northland,Accommodation services,2.496339159
30/6/2008,Northland,"Cultural, recreation, and gambling services",0.759328278
30/6/2008,Northland,Food and beverage serving services,3.571120505
30/6/2008,Northland,Other passenger transport,4.416554985
30/6/2008,Northland,Other tourism products,2.390201952
30/6/2008,Northland,"Retail sales - alcohol, food, and beverages",5.808646569
30/6/2008,Northland,Retail sales - fuel and other automotive products,6.199605757
30/6/2008,Northland,Retail sales - other,8.912994805
30/6/2008,Otago,Accommodation services,5.192792799
30/6/2008,Otago,"Cultural, recreation, and gambling services",3.303108982
30/6/2008,Otago,Food and beverage serving services,7.707046706
30/6/2008,Otago,Other passenger transport,8.751213472
30/6/2008,Otago,Other tourism products,3.351971677
30/6/2008,Otago,"Retail sales - alcohol, food, and beverages",6.587424556
30/6/2008,Otago,Retail sales - fuel and other automotive products,5.900550933
30/6/2008,Otago,Retail sales - other,14.84089568
30/6/2008,Southland,Accommodation services,1.461788482
30/6/2008,Southland,"Cultural, recreation, and gambling services",0.26256163
30/6/2008,Southland,Food and beverage serving services,2.285693836
30/6/2008,Southland,Other passenger transport,4.475845276
30/6/2008,Southland,Other tourism products,1.187797814
30/6/2008,Southland,"Retail sales - alcohol, food, and beverages",3.037825045
30/6/2008,Southland,Retail sales - fuel and other automotive products,2.562913162
30/6/2008,Southland,Retail sales - other,5.760112006
30/6/2008,Taranaki,Accommodation services,1.675096754
30/6/2008,Taranaki,"Cultural, recreation, and gambling services",0.508392098
30/6/2008,Taranaki,Food and beverage serving services,1.98963522
30/6/2008,Taranaki,Other passenger transport,1.778828728
30/6/2008,Taranaki,Other tourism products,1.551540205
30/6/2008,Taranaki,"Retail sales - alcohol, food, and beverages",2.185895757
30/6/2008,Taranaki,Retail sales - fuel and other automotive products,2.330705962
30/6/2008,Taranaki,Retail sales - other,4.65978775
30/6/2008,Tasman,Accommodation services,0.465023996
30/6/2008,Tasman,"Cultural, recreation, and gambling services",0.098789962
30/6/2008,Tasman,Food and beverage serving services,0.771194355
30/6/2008,Tasman,Other passenger transport,0.68489365
30/6/2008,Tasman,Other tourism products,0.306815233
30/6/2008,Tasman,"Retail sales - alcohol, food, and beverages",1.285683856
30/6/2008,Tasman,Retail sales - fuel and other automotive products,1.076553432
30/6/2008,Tasman,Retail sales - other,1.087427598
30/6/2008,Waikato,Accommodation services,6.287060623
30/6/2008,Waikato,"Cultural, recreation, and gambling services",3.704705742
30/6/2008,Waikato,Food and beverage serving services,12.60598886
30/6/2008,Waikato,Other passenger transport,8.095255801
30/6/2008,Waikato,Other tourism products,6.447518207
30/6/2008,Waikato,"Retail sales - alcohol, food, and beverages",10.14599963
30/6/2008,Waikato,Retail sales - fuel and other automotive products,17.87131073
30/6/2008,Waikato,Retail sales - other,26.96849011
